model,threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,tp,fp,n
M3_ebv,0.94,-0.04036908881199533,-14.167243367935397,0.0,4,1,289
M3_ebv,0.95,-0.051903114186851146,-17.200692041522473,0.0,4,1,289
M3_ebv,0.96,0.01384083044982699,-21.750865051903094,0.0,4,0,289
M3_ebv,0.97,0.01384083044982699,-29.334486735870794,0.0,4,0,289
M3_ebv,0.98,0.01384083044982699,-44.50173010380619,0.0,4,0,289
M3_ebv,0.99,0.010380622837370242,-90.00346020761238,0.0,3,0,289
M5_clinical,0.01,0.24504561182761872,0.24504561182761872,0.0,73,216,289
M5_clinical,0.02,0.2373419956217781,0.2373419956217781,0.0,73,216,289
M5_clinical,0.03,0.22601933435593763,0.22947954196839437,0.0,72,216,289
M5_clinical,0.04,0.21799307958477507,0.2214532871972318,0.0,72,216,289
M5_clinical,0.05,0.20997996721908577,0.2132580586414132,0.0,72,215,289
M5_clinical,0.06,0.20164912022380915,0.20488846352057719,0.0,72,215,289
M5_clinical,0.07,0.19313911522863414,0.19633887710681994,0.0,72,215,289
M5_clinical,0.08,0.18444411012486836,0.1876034301188506,0.0,72,215,289
M5_clinical,0.09,0.1759002243431309,0.1786759952849918,0.0,72,214,289
M5_clinical,0.1,0.16724336793540945,0.1695501730103806,0.0,72,213,289
M5_clinical,0.11,0.15889739901248007,0.16021927607791298,0.0,72,211,289
M5_clinical,0.12,0.146586977036804,0.15067631330607106,0.0,71,210,289
M5_clinical,0.13,0.13968102453963327,0.14091397207970408,0.0,71,205,289
M5_clinical,0.14,0.13076365977307475,0.1309245996620262,0.0,71,204,289
M5_clinical,0.15,0.12171789130877263,0.12070018318746181,0.0,71,203,289
M5_clinical,0.16,0.11171527434503212,0.11023232822540777,0.0,70,198,289
M5_clinical,0.17,0.10259724017175967,0.09951223579438859,0.0,70,197,289
M5_clinical,0.18,0.09410076799729936,0.08853067769432019,0.0,70,195,289
M5_clinical,0.19,0.08048186594899398,0.07727797001153403,0.0,69,195,289
M5_clinical,0.2,0.07006920415224913,0.06574394463667818,0.0,69,195,289
